titleSpanish,titleEnglish,genre,CEFR,spanish,english
Sistemas políticos del mundo,Political Systems of the World,politics,A1,"En el mundo hay varios sistemas políticos. Algunos países son democracias. En una democracia, las personas votan y eligen a sus representantes. Hay elecciones cada pocos años. Las leyes protegen derechos básicos. Otros países son monarquías. En una monarquía parlamentaria hay rey o reina y también un parlamento elegido. España y Noruega son ejemplos. El rey representa al país y el gobierno toma decisiones. También existen repúblicas. En una república no hay rey. Hay un presidente elegido. Francia e Italia son repúblicas. En algunos países hay un solo partido político. El mismo partido controla el gobierno y no hay otros partidos. Cada sistema busca orden y seguridad. Muchas personas quieren participar, vivir con justicia y paz, y por eso hablan, votan y respetan las leyes.","In the world there are several political systems. Some countries are democracies. In a democracy, people vote and choose their representatives. There are elections every few years. The laws protect basic rights. Other countries are monarchies. In a parliamentary monarchy there is a king or queen and also an elected parliament. Spain and Norway are examples. The king represents the country and the government makes decisions. Republics also exist. In a republic there is no king. There is an elected president. France and Italy are republics. In some countries there is only one political party. The same party controls the government and there are no other parties. Each system seeks order and security. Many people want to participate, live with justice and peace, and so they speak, vote, and respect the laws."
Consejos simples para dormir mejor,Simple Tips for Better Sleep,health,A1,"Dormir bien es importante para la salud. Aquí tienes consejos simples. Puedes ir a la cama y levantarte a la misma hora cada día. Así, tu cuerpo aprende el horario. Antes de dormir, puedes hacer una rutina corta, como leer un libro o escuchar música tranquila. La habitación debe estar oscura, fresca y sin ruido. Cierra las cortinas y apaga el móvil y el ordenador una hora antes de dormir. No tomes café, té fuerte ni bebidas con mucho azúcar por la tarde. Cenar poco ayuda. Bebe agua, pero no mucha antes de acostarte. Haz ejercicio por la mañana o por la tarde. Un paseo de veinte minutos es suficiente. Una ducha caliente por la noche también relaja. Si no puedes dormir, levántate, lee algo tranquilo y vuelve a la cama cuando tengas sueño. Poco a poco dormirás mejor.","Sleeping well is important for your health. Here are some simple tips. Go to bed and wake up at the same time every day. This way, your body learns the schedule. Before going to sleep, you can do a short routine, such as reading a book or listening to calm music. The room should be dark, cool, and quiet. Close the curtains and turn off your cell phone and computer an hour before going to sleep. Don't drink coffee, strong tea, or sugary drinks in the afternoon. Eating a light dinner helps. Drink water, but not too much before bedtime. Exercise in the morning or afternoon. A twenty-minute walk is enough. A warm shower at night is also relaxing. If you can't sleep, get up, read something relaxing, and go back to bed when you feel sleepy. Little by little, you will sleep better."
Típicamente español,Typically Spanish,culture,A1,"En España hay muchas cosas típicas. Por la mañana, mucha gente toma café con leche y una tostada con tomate y aceite de oliva. A mediodía comen tarde, a las dos o a las tres. Les gustan las tapas para compartir: tortilla de patatas, jamón y aceitunas. En verano la paella es popular, sobre todo cerca del mar. A veces las personas duermen la siesta, sobre todo en pueblos pequeños. Las plazas son lugares importantes; la gente pasea y habla con amigos. El fútbol es muy famoso y muchas personas ven los partidos el fin de semana. En las fiestas hay música y baile, como en la Feria o en las Fallas. A la gente le gusta estar con la familia y disfrutar del buen tiempo. Para muchos, esto es “típicamente español”.","In Spain, there are many typical things. In the morning, many people have coffee with milk and toast with tomato and olive oil. At midday they eat late, at two or three o’clock. They like tapas to share, such as potato omelet, ham, and olives. In summer, paella is popular, especially near the sea. Sometimes people take a siesta, especially in small towns. Town squares are important places; people stroll and talk with friends. Soccer is very popular and many people watch the matches on the weekend. At festivals there is music and dancing, like at the Feria or the Fallas. People like to be with family and enjoy the good weather. For many, this is “typically Spanish.”"
La Ciudad de las máquinas,The City of Machines,science fiction,A1,,
Lofoten,Lofoten,travel,A1,,
El Viaje de Chihiro,Spirited Away,fantasy,A1,,
El sistema solar,The Solar System,science,A1,"El Sistema Solar es nuestra casa en el espacio. En el centro está el Sol. El Sol es una estrella. Da luz y calor. Alrededor del Sol giran ocho planetas: Mercurio, Venus, la Tierra, Marte, Júpiter, Saturno, Urano y Neptuno. La Tierra es nuestro planeta. Tiene agua y vida. Mercurio es pequeño y muy caliente. Venus es muy caliente también. Marte es el planeta rojo. Júpiter es el planeta más grande. Saturno tiene anillos. Urano y Neptuno son muy fríos y están muy lejos. La Luna gira alrededor de la Tierra. En el Sistema Solar hay también asteroides y cometas. Cada planeta tiene un día y un año. Un día es el tiempo para girar una vez. Un año es el tiempo para dar una vuelta al Sol.","The Solar System is our home in space. In the center is the Sun. The Sun is a star. It gives light and heat. Eight planets go around the Sun: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune. Earth is our planet. It has water and life. Mercury is small and very hot. Venus is very hot too. Mars is the red planet. Jupiter is the biggest planet. Saturn has rings. Uranus and Neptune are very cold and very far away. The Moon goes around Earth. There are also asteroids and comets in the Solar System. Each planet has a day and a year. A day is the time to turn once. A year is the time to go around the Sun once."
Aspectos peligrosos de las redes sociales,Dangerous Aspects of Social Media,technology,A1,"Hoy uso redes sociales cada día. Son útiles para hablar con amigos y ver noticias. Pero también tienen cosas peligrosas. En redes sociales, algunas personas no dicen la verdad. A veces hay perfiles falsos. Un desconocido puede escribirte y pedir fotos o información. Es mejor no dar tu nombre completo, tu dirección o tu número de teléfono. También pasamos mucho tiempo con el móvil. Después, estamos cansados o tristes. Es bueno hacer pausas y salir a caminar. En internet, las palabras pueden hacer daño. Trata a otros con respeto. Si una persona te molesta, puedes bloquearla. Si ves algo raro, cuenta el problema a un adulto o a una persona de confianza. Usa las redes con cuidado y piensa antes de publicar.","Today, I use social media every day. It's useful for talking to friends and reading the news. But there are also dangerous aspects to it. On social media, some people don't tell the truth. Sometimes there are fake profiles. A stranger might write to you and ask for photos or information. It's best not to give out your full name, address, or phone number. We also spend a lot of time on our phones. Afterwards, we feel tired or sad. It's good to take breaks and go for a walk. On the internet, words can hurt. Treat others with respect. If someone bothers you, you can block them. If you see something strange, tell an adult or someone you trust about the problem. Use social media carefully and think before you post."
Sushi,Sushi,food,A1,"El sushi es un plato japonés. Es pequeño y muy popular en muchos países. La base del sushi es arroz blanco con vinagre. Encima del arroz hay pescado crudo, como salmón o atún. A veces lleva verduras, como pepino o aguacate. El sushi puede tener alga nori por fuera. Se come con salsa de soja. El wasabi es muy picante. El jengibre es dulce y se come entre piezas. Podemos comer sushi con palillos o con las manos. En un restaurante, el camarero trae un plato con muchas piezas diferentes. El sushi es fresco y ligero. A mí me gusta porque es simple y sano.","Sushi is a Japanese dish. It is small and very popular in many countries. The base of sushi is white rice with vinegar. On top of the rice is raw fish, such as salmon or tuna. Sometimes it has vegetables, such as cucumber or avocado. Sushi can have nori seaweed on the outside. It is eaten with soy sauce. Wasabi is very spicy. Ginger is sweet and is eaten between pieces. We can eat sushi with chopsticks or with our hands. In a restaurant, the waiter brings a plate with many different pieces. Sushi is fresh and light. I like it because it is simple and healthy."
La época vikinga,The Viking Age,history,A1,"La época vikinga fue un tiempo antiguo en el norte de Europa. Empezó hace más de mil años. Los vikingos vivían en Noruega, Suecia y Dinamarca. Eran buenos marineros y constructores de barcos largos con vela. Viajaban por el mar para explorar y para buscar nuevas tierras. A veces comerciaban con pieles, madera y metal. A veces atacaban pueblos y robaban. También muchos vikingos eran granjeros. Tenían vacas, ovejas y gallinas. Las casas eran de madera y la familia trabajaba junta. Los vikingos tenían dioses como Odín y Thor. Contaban historias llamadas sagas. Con el tiempo, muchos se hicieron cristianos y empezaron a vivir en ciudades y a hacer más comercio. Hoy recordamos a los vikingos por sus barcos, su arte y sus historias de viaje.","The Viking Age was an ancient period in northern Europe. It began over a thousand years ago. The Vikings lived in Norway, Sweden, and Denmark. They were skilled sailors and builders of long ships with sails. They traveled by sea to explore and search for new lands. Sometimes they traded in furs, wood, and metal. Sometimes they attacked villages and stole. Many Vikings were also farmers. They had cows, sheep, and chickens. Their houses were made of wood, and the family worked together. The Vikings had gods such as Odin and Thor. They told stories called sagas. Over time, many became Christians and began to live in cities and trade more. Today we remember the Vikings for their ships, their art, and their stories of travel."
