English,CEFR,gender,word,wordAudio,region,definition,sentenceAudio,example,sentenceTranslation,oldSentenceToBeDeleted
"to, at",A1,preposition,a,X,,"Indica dirección, lugar, tiempo, modo u objeto de una acción.",X,Vamos a la playa.,Let’s go to the beach.,
open,A1,adjective,abierto,X,,Que no está cerrado.,X,La puerta está abierta.,The door is open.,
coat,A1,masculine,abrigo,X,,Prenda de vestir que sirve para abrigar el cuerpo del frío.,X,Tengo un abrigo rojo.,I have a red coat.,
April,A1,masculine,abril,X,,Cuarto mes del año.,X,Mi cumpleaños es en abril.,My birthday is in April.,
open,A1,verb,abrir,X,,Mover algo para dejarlo abierto.,X,Voy a abrir la ventana.,I’m going to open the window.,
grandmother,A1,feminine,abuela,X,,Mujer que es la madre del padre o de la madre de una persona.,X,Mi abuela cocina muy bien.,My grandmother cooks very well.,
grandfather,A1,masculine,abuelo,X,,Hombre que es el padre del padre o de la madre de una persona.,X,Mi abuelo vive en el campo.,My grandfather lives in the countryside.,
boring,A1,adjective,aburrido,X,,Que produce cansancio o falta de interés.,X,Esta película es muy aburrida.,This movie is very boring.,
activity,A1,feminine,actividad,X,,Conjunto de acciones realizadas con un fin.,X,Tenemos una actividad en clase.,We have an activity in class.,
goodbye,A1,interjection,adiós,X,,Expresión usada para despedirse de alguien.,X,"Adiós, nos vemos mañana.","Goodbye, see you tomorrow.",
airport,A1,masculine,aeropuerto,X,,Lugar donde llegan y salen los aviones.,X,El aeropuerto está cerca.,The airport is nearby.,
August,A1,masculine,agosto,X,,Octavo mes del año.,X,Vamos de vacaciones en agosto.,We go on vacation in August.,
water,A1,feminine,agua,X,,"Líquido transparente, incoloro, inodoro e insípido, esencial para la vida.",X,Quiero un vaso de agua.,I want a glass of water.,
now,A1,adverb,ahora,X,,En este momento presente.,X,Ahora vamos al parque.,Now we’re going to the park.,
Germany,A1,feminine,Alemania,X,,País situado en Europa central cuya capital es Berlín.,X,Mi amigo es de Alemania.,My friend is from Germany.,
"something, anything",A1,pronoun,algo,X,,Cosa indeterminada.,X,¿Tienes algo para mí?,Do you have something for me?,
"someone, anyone",A1,pronoun,alguien,X,,Persona indeterminada o desconocida.,X,Hay alguien en la puerta.,There’s someone at the door.,
over there,A1,adverb,allá,X,,Indica un lugar que está lejos del hablante.,X,Allá está la casa de mi abuela.,Over there is my grandmother’s house.,
"tall, high",A1,adjective,alto,X,,Que tiene gran estatura o elevación.,X,El edificio es muy alto.,The building is very tall.,
"student, pupil",A1,masculine,alumno,X,,"Persona que recibe enseñanza, especialmente en una escuela.",X,El alumno está en clase.,The student is in class.,
yellow,A1,adjective,amarillo,X,,De color semejante al del oro o al de la yema del huevo.,X,El coche es amarillo.,The car is yellow.,
friend,A1,feminine,amiga,X,,Persona del sexo femenino con la que se mantiene una relación de amistad.,X,Tengo una amiga en la escuela.,I have a friend at school.,
friend,A1,masculine,amigo,X,,Persona del sexo masculino con la que se mantiene una relación de amistad.,X,Mi amigo juega al fútbol conmigo.,My friend plays football with me.,
ring,A1,masculine,anillo,X,,"Aro, generalmente de metal, que se lleva como adorno en los dedos.",X,Tengo un anillo de plata.,I have a silver ring.,
animal,A1,masculine,animal,X,,Ser vivo que se distingue de las plantas por su capacidad de movimiento y sensibilidad.,X,El perro es un animal.,The dog is an animal.,
year,A1,masculine,año,X,,Período de doce meses en que se divide el tiempo.,X,Este año vamos a la playa.,This year we’re going to the beach.,
before,A1,preposition,antes,X,,Con anterioridad a un momento determinado.,X,Lávate las manos antes de comer.,Wash your hands before eating.,
learn,A1,verb,aprender,X,,Adquirir conocimiento de algo por medio del estudio o la experiencia.,X,Quiero aprender español.,I want to learn Spanish.,
here,A1,adverb,aquí,X,,En este lugar.,X,Aquí está tu mochila.,Here’s your backpack.,
tree,A1,masculine,árbol,X,,Planta de tronco leñoso que se ramifica a cierta altura del suelo.,X,El árbol es muy grande.,The tree is very big.,
closet,A1,masculine,armario,X,,Mueble con puertas que sirve para guardar ropa u otros objetos.,X,El armario está en el dormitorio.,The closet is in the bedroom.,
rice,A1,masculine,arroz,X,,Grano comestible que es alimento básico en muchas culturas.,X,Me gusta comer arroz.,I like eating rice.,
art,A1,masculine,arte,X,,Manifestación de la actividad humana con valor estético o expresivo.,X,Me encanta el arte.,I love art.,
airplane,A1,masculine,avión,X,,Aeronave más pesada que el aire que se mantiene en vuelo gracias a sus alas.,X,El avión ya ha salido.,The plane has already left.,
yesterday,A1,adverb,ayer,X,,El día inmediatamente anterior al de hoy.,X,Ayer fuimos al cine.,Yesterday we went to the cinema.,
